meeting_key,race_name,driver_number,driver_name,practice_1,practice_2,practice_3,sprint_quali,sprint_race,qualifying,race
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,14,Fernando ALONSO,2,1,1,,,5,3
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,16,Charles LECLERC,5,4,5,,,3,19
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,63,George RUSSELL,11,13,6,,,6,7
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,23,Alexander ALBON,19,17,19,,,15,10
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,27,Nico HULKENBERG,14,5,15,,,10,15
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,21,Nyck DE VRIES,16,19,20,,,19,14
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,24,ZHOU Guanyu,8,10,12,,,13,16
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,77,Valtteri BOTTAS,9,12,17,,,12,8
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,31,Esteban OCON,15,11,11,,,9,18
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,20,Kevin MAGNUSSEN,7,16,14,,,17,13
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,55,Carlos SAINZ,20,14,8,,,4,4
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,4,Lando NORRIS,4,9,13,,,11,17
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,2,Logan SARGEANT,18,20,18,,,16,12
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,81,Oscar PIASTRI,12,15,9,,,18,20
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,22,Yuki TSUNODA,13,18,16,,,14,11
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,11,Sergio PEREZ,1,3,3,,,2,2
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,44,Lewis HAMILTON,10,8,4,,,7,5
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,10,Pierre GASLY,17,7,10,,,20,9
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,18,Lance STROLL,6,6,7,,,8,6
1141,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,1,Max VERSTAPPEN,3,2,2,,,1,1
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,14,Fernando ALONSO,3,2,3,,,3,3
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,16,Charles LECLERC,11,9,6,,,2,7
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,63,George RUSSELL,5,5,11,,,4,4
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,23,Alexander ALBON,9,14,15,,,17,19
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,27,Nico HULKENBERG,15,8,13,,,11,12
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,21,Nyck DE VRIES,13,17,20,,,18,14
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,24,ZHOU Guanyu,19,16,12,,,12,13
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,77,Valtteri BOTTAS,18,20,18,,,14,18
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,31,Esteban OCON,12,4,14,,,7,8
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,20,Kevin MAGNUSSEN,16,15,17,,,13,10
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,55,Carlos SAINZ,7,10,10,,,5,6
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,4,Lando NORRIS,20,12,7,,,19,17
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,2,Logan SARGEANT,17,18,16,,,20,16
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,81,Oscar PIASTRI,14,19,8,,,9,15
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,22,Yuki TSUNODA,10,13,19,,,16,11
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,11,Sergio PEREZ,2,3,2,,,1,1
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,44,Lewis HAMILTON,6,11,5,,,8,5
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,10,Pierre GASLY,8,6,9,,,10,9
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,18,Lance STROLL,4,7,4,,,6,20
1142,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,1,Max VERSTAPPEN,1,1,1,,,15,2
1143,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,14,Fernando ALONSO,4,1,2,,,4,3
1143,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,16,Charles LECLERC,5,2,13,,,7,20
1143,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,63,George RUSSELL,9,4,4,,,2,18
1143,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,23,Alexander ALBON,11,18,12,,,8,19
1143,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,27,Nico HULKENBERG,13,9,11,,,10,7
1143,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,21,Nyck DE VRIES,14,17,19,,,15,15
1143,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,24,ZHOU Guanyu,19,15,10,,,17,9
