,raceId,driverId,constructorId,grid,position,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed
0,1,max_verstappen,red_bull,1,1,26,57,1:31:44.742,5504742,39,1,1:32.608,210.383
1,1,perez,red_bull,5,2,18,57,+22.457,5527199,40,4,1:34.364,206.468
2,1,sainz,ferrari,4,3,15,57,+25.110,5529852,44,6,1:34.507,206.156
3,1,leclerc,ferrari,2,4,12,57,+39.669,5544411,36,2,1:34.090,207.069
4,1,russell,mercedes,3,5,10,57,+46.788,5551530,40,12,1:35.065,204.946
5,1,norris,mclaren,7,6,8,57,+48.458,5553200,1,5,1:34.476,206.223
6,1,hamilton,mercedes,9,7,6,57,+50.324,5555066,39,7,1:34.722,205.688
7,1,piastri,mclaren,8,8,4,57,+56.082,5560824,1,11,1:34.983,205.123
8,1,alonso,aston_martin,6,9,2,57,+1:14.887,5579629,48,3,1:34.199,206.830
9,1,stroll,aston_martin,12,10,1,57,+1:33.216,5597958,30,16,1:35.632,203.730
10,1,zhou,sauber,17,11,0,56,,,30,14,1:35.458,204.102
11,1,kevin_magnussen,haas,15,12,0,56,,,34,15,1:35.570,203.863
12,1,ricciardo,rb,14,13,0,56,,,37,13,1:35.163,204.735
13,1,tsunoda,rb,11,14,0,56,,,37,18,1:35.833,203.303
14,1,albon,williams,13,15,0,56,,,40,17,1:35.723,203.537
15,1,hulkenberg,haas,10,16,0,56,,,46,10,1:34.834,205.445
16,1,ocon,alpine,19,17,0,56,,,34,20,1:36.226,202.473
17,1,gasly,alpine,20,18,0,56,,,45,9,1:34.805,205.508
18,1,bottas,sauber,16,19,0,56,,,33,19,1:36.202,202.523
19,1,sargeant,williams,18,20,0,55,,,42,8,1:34.735,205.659
20,2,max_verstappen,red_bull,1,1,25,50,1:20:43.273,4843273,50,3,1:31.773,242.188
21,2,perez,red_bull,3,2,18,50,+13.6431,4862704,37,8,1:32.273,240.876
22,2,leclerc,ferrari,2,3,16,50,+18.639,4861912,50,1,1:31.632,242.561
23,2,piastri,mclaren,5,4,12,50,+32.007,4875280,1,10,1:32.310,240.779
24,2,alonso,aston_martin,4,5,10,50,+35.759,4879032,43,13,1:32.387,240.579
25,2,russell,mercedes,7,6,8,50,+39.936,4883209,42,7,1:32.254,240.926
26,2,bearman,ferrari,11,7,6,50,+42.679,4885952,50,5,1:32.186,241.103
27,2,norris,mclaren,6,8,4,50,+45.708,4888981,1,4,1:31.944,241.738
28,2,hamilton,mercedes,8,9,2,50,+47.391,4890664,38,2,1:31.746,242.260
29,2,hulkenberg,haas,15,10,1,50,+1:16.996,4920269,49,12,1:32.366,240.633
30,2,albon,williams,12,11,0,50,+1:28.354,4931627,50,9,1:32.307,240.787
31,2,kevin_magnussen,haas,13,12,0,50,+1:45.7373,4955646,47,11,1:32.338,240.706
32,2,ocon,alpine,17,13,0,49,,,48,17,1:33.481,237.763
33,2,sargeant,williams,19,14,0,49,,,44,18,1:33.523,237.657
34,2,tsunoda,rb,9,15,0,49,,,49,15,1:33.026,238.926
35,2,ricciardo,rb,14,16,0,49,,,47,16,1:33.323,238.166
36,2,bottas,sauber,16,17,0,49,,,49,14,1:32.706,239.751
37,2,zhou,sauber,20,18,0,49,,,49,6,1:32.208,241.046
38,2,stroll,aston_martin,10,19,0,5,,,5,19,1:35.560,232.591
39,2,gasly,alpine,18,20,0,1,,,,,,
40,3,sainz,ferrari,2,1,25,58,1:20:26.843,4826843,48,3,1:20.031,237.418
41,3,leclerc,ferrari,4,2,19,58,+2.366,4829209,56,1,1:19.813,238.066
42,3,norris,mclaren,3,3,15,58,+5.904,4832747,1,2,1:19.915,237.762
43,3,piastri,mclaren,5,4,12,58,+35.770,4862613,1,4,1:20.199,236.920
44,3,perez,red_bull,6,5,10,58,+56.309,4883152,47,6,1:20.388,236.363
45,3,stroll,aston_martin,9,6,8,58,+1:33.222,4920065,49,8,1:20.930,234.780
46,3,tsunoda,rb,8,7,6,58,+1:35.601,4922444,46,11,1:21.134,234.190
47,3,alonso,aston_martin,10,8,4,58,+1:40.992,4927835,52,7,1:20.493,236.055
48,3,hulkenberg,haas,16,9,2,58,+1:44.553,4931396,46,12,1:21.145,234.158
49,3,kevin_magnussen,haas,14,10,1,57,,,44,9,1:21.082,234.340
50,3,albon,williams,12,11,0,57,,,46,17,1:21.618,232.801
51,3,ricciardo,rb,18,12,0,57,,,46,13,1:21.239,233.887
52,3,gasly,alpine,17,13,0,57,,,51,10,1:21.090,234.317
53,3,bottas,sauber,13,14,0,57,,,48,16,1:21.422,233.361
54,3,zhou,sauber,19,15,0,57,,,49,14,1:21.327,233.634
55,3,ocon,alpine,15,16,0,57,,,45,15,1:21.354,233.557
56,3,russell,mercedes,7,17,0,56,,,53,5,1:20.284,236.669
57,3,hamilton,mercedes,11,18,0,15,,,11,18,1:22.444,230.469
58,3,max_verstappen,red_bull,1,19,0,3,,,3,19,1:23.115,228.608
59,4,max_verstappen,red_bull,1,1,26,53,1:54:23.566,6863566,50,1,1:33.706,223.093
60,4,perez,red_bull,2,2,18,53,+12.535,6876101,35,3,1:33.945,222.525
61,4,sainz,ferrari,4,3,15,53,+20.866,6884432,46,2,1:33.841,222.772
62,4,leclerc,ferrari,8,4,12,53,+26.522,6890088,53,9,1:35.044,219.952
63,4,norris,mclaren,3,5,10,53,+29.700,6893266,1,10,1:35.186,219.624
64,4,alonso,aston_martin,5,6,8,53,+44.272,6907838,53,6,1:34.726,220.691
65,4,russell,mercedes,9,7,6,53,+45.951,6909517,39,5,1:34.404,221.444
66,4,piastri,mclaren,6,8,4,53,+47.525,6911091,1,7,1:34.802,220.514
67,4,hamilton,mercedes,7,9,2,53,+48.626,6912192,41,4,1:33.952,222.509
68,4,tsunoda,rb,10,10,1,52,,,51,14,1:36.342,216.989
69,4,hulkenberg,haas,12,11,0,52,,,52,11,1:35.325,219.304
70,4,stroll,aston_martin,16,12,0,52,,,41,12,1:35.798,218.221
71,4,kevin_magnussen,haas,18,13,0,52,,,24,17,1:36.654,216.289
72,4,bottas,sauber,13,14,0,52,,,25,15,1:36.608,216.392
73,4,ocon,alpine,15,15,0,52,,,52,13,1:36.232,217.237
74,4,gasly,alpine,17,16,0,52,,,48,16,1:36.642,216.315
75,4,sargeant,williams,19,17,0,52,,,43,8,1:34.900,220.286
76,4,zhou,sauber,20,18,0,12,,,9,18,1:37.160,215.162
77,4,ricciardo,rb,11,19,0,0,,,,,,
78,4,albon,williams,14,20,0,0,,,,,,
79,5,max_verstappen,red_bull,1,1,25,56,1:40:52.554,6052554,33,2,1:38.406,199.414
80,5,norris,mclaren,4,2,18,56,+13.773,6066327,1,4,1:38.751,198.717
81,5,perez,red_bull,2,3,15,56,+19.160,6071714,33,7,1:39.388,197.444
82,5,leclerc,ferrari,6,4,12,56,+23.623,6076177,33,6,1:39.384,197.452
83,5,sainz,ferrari,7,5,10,56,+33.983,6086537,19,10,1:39.764,196.700
84,5,russell,mercedes,8,6,8,56,+38.724,6091278,39,11,1:40.112,196.016
85,5,alonso,aston_martin,3,7,7,56,+43.414,6095968,45,1,1:37.810,200.629
86,5,piastri,mclaren,5,8,4,56,+56.198,6108752,1,9,1:39.739,196.749
87,5,hamilton,mercedes,18,9,2,56,+57.986,6110540,34,14,1:40.835,194.610
88,5,hulkenberg,haas,9,10,1,56,+1:00.476,6113030,32,13,1:40.815,194.649
89,5,ocon,alpine,13,11,0,56,+1:02.812,6115366,33,15,1:40.937,194.414
90,5,albon,williams,14,12,0,56,+1:05.506,6118060,34,12,1:40.790,194.697
91,5,gasly,alpine,15,13,0,56,+1:09.223,6121777,40,5,1:39.198,197.822
92,5,zhou,sauber,16,14,0,56,+1:11.689,6124243,42,3,1:38.633,198.955
93,5,stroll,aston_martin,11,15,0,56,+1:22.786,6135340,37,8,1:39.444,197.333
94,5,kevin_magnussen,haas,17,16,0,56,+1:27.533,6140087,45,18,1:41.077,194.145
95,5,sargeant,williams,20,17,0,56,+1:35.110,6147664,14,17,1:41.000,194.293
96,5,ricciardo,rb,12,18,0,33,,,16,16,1:40.994,194.304
97,5,tsunoda,rb,19,19,0,26,,,11,20,1:41.593,193.158
98,5,bottas,sauber,10,20,0,19,,,11,19,1:41.276,193.763
99,6,norris,mclaren,5,1,25,57,1:30:49.876,5449876,55,5,1:30.980,214.148
100,6,max_verstappen,red_bull,1,2,18,57,+7.612,5457488,48,8,1:31.261,213.488
101,6,leclerc,ferrari,2,3,15,57,+9.920,5459796,56,6,1:31.084,213.903
102,6,perez,red_bull,4,4,12,57,+14.650,5464526,55,3,1:30.855,214.442
103,6,sainz,ferrari,3,5,10,57,+16.407,5466283,55,4,1:30.928,214.270
104,6,hamilton,mercedes,8,6,8,57,+16.585,5466461,54,7,1:31.233,213.554
105,6,tsunoda,rb,10,7,6,57,+26.185,5476061,55,10,1:31.682,212.508
106,6,russell,mercedes,7,8,4,57,+34.789,5484665,43,13,1:31.921,211.955
107,6,alonso,aston_martin,15,9,2,57,+37.107,5486983,55,11,1:31.727,212.404
108,6,ocon,alpine,13,10,1,57,+39.746,5489622,51,16,1:32.037,211.688
109,6,hulkenberg,haas,9,11,0,57,+40.789,5490665,56,14,1:31.941,211.909
110,6,gasly,alpine,12,12,0,57,+44.958,5494834,56,17,1:32.055,211.647
111,6,piastri,mclaren,6,13,0,57,+49.756,5499632,43,1,1:30.634,214.965
112,6,zhou,sauber,19,14,0,57,+49.979,5499855,56,15,1:31.991,211.794
113,6,ricciardo,rb,20,15,0,57,+50.956,5500832,57,19,1:32.122,211.493
114,6,bottas,sauber,16,16,0,57,+52.356,5502232,55,18,1:32.098,211.548
115,6,stroll,aston_martin,11,17,0,57,+55.173,5505049,57,9,1:31.588,212.726
116,6,albon,williams,14,18,0,57,+1:16.091,5525967,55,2,1:30.849,214.456
117,6,kevin_magnussen,haas,18,19,0,57,+1:24.683,5534559,33,12,1:31.774,212.295
118,6,sargeant,williams,17,20,0,27,,,15,20,1:33.452,208.483
119,7,max_verstappen,red_bull,1,1,25,63,1:25:25.252,5125252,38,9,1:20.366,219.898
120,7,norris,mclaren,2,2,18,63,+0.725,5125977,54,6,1:19.994,220.921
121,7,leclerc,ferrari,3,3,15,63,+7.916,5133168,27,5,1:19.935,221.084
122,7,piastri,mclaren,5,4,12,63,+14.132,5139384,25,4,1:19.907,221.162
123,7,sainz,ferrari,4,5,10,63,+22.325,5147577,63,7,1:20.220,220.299
124,7,hamilton,mercedes,8,6,8,63,+35.104,5160356,43,8,1:20.331,219.994
125,7,russell,mercedes,6,7,7,63,+47.154,5172406,54,1,1:18.589,224.871
126,7,perez,red_bull,11,8,4,63,+54.776,5180028,52,3,1:19.686,221.775
127,7,stroll,aston_martin,13,9,2,63,+1:19.556,5204808,58,10,1:20.570,219.342
128,7,tsunoda,rb,7,10,1,62,,,14,11,1:20.936,218.350
129,7,hulkenberg,haas,10,11,0,62,,,3,20,1:21.700,216.308
130,7,kevin_magnussen,haas,18,12,0,62,,,58,12,1:21.009,218.153
131,7,ricciardo,rb,9,13,0,62,,,13,19,1:21.569,216.655
132,7,ocon,alpine,12,14,0,62,,,37,16,1:21.304,217.361
133,7,zhou,sauber,17,15,0,62,,,37,13,1:21.016,218.134
134,7,gasly,alpine,15,16,0,62,,,10,17,1:21.371,217.183
135,7,sargeant,williams,19,17,0,62,,,55,14,1:21.229,217.562
136,7,bottas,sauber,16,18,0,62,,,11,18,1:21.455,216.959
137,7,alonso,aston_martin,20,19,0,62,,,62,2,1:19.004,223.689
138,7,albon,williams,14,20,0,51,,,48,15,1:21.274,217.442
139,8,leclerc,ferrari,1,1,25,78,2:23:15.554,8595554,,,,
140,8,piastri,mclaren,2,2,18,78,+7.152,8602706,,,,
141,8,sainz,ferrari,3,3,15,78,+7.585,8603139,,,,
142,8,norris,mclaren,4,4,12,78,+8.650,8604204,,,,
143,8,russell,mercedes,5,5,10,78,+13.309,8608863,,,,
144,8,max_verstappen,red_bull,6,6,8,78,+13.853,8609407,,,,
145,8,hamilton,mercedes,7,7,7,78,+14.908,8610462,,,,
146,8,tsunoda,rb,8,8,4,77,,,,,,
147,8,albon,williams,9,9,2,77,,,,,,
148,8,gasly,alpine,10,10,1,77,,,,,,
149,8,alonso,aston_martin,14,11,0,76,,,,,,
150,8,ricciardo,rb,12,12,0,76,,,,,,
151,8,bottas,sauber,17,13,0,76,,,,,,
152,8,stroll,aston_martin,13,14,0,76,,,,,,
153,8,sargeant,williams,15,15,0,76,,,,,,
154,8,zhou,sauber,18,16,0,76,,,,,,
155,8,ocon,alpine,11,17,0,0,,,,,,
156,8,perez,red_bull,16,18,0,0,,,,,,
157,8,hulkenberg,haas,19,19,0,0,,,,,,
158,8,kevin_magnussen,haas,20,20,0,0,,,,,,
159,9,max_verstappen,red_bull,2,1,25,70,1:45:47.927,6347927,70,4,1:15.569,207.751
160,9,norris,mclaren,3,2,18,70,+3.879,6351806,67,3,1:15.558,207.782
161,9,russell,mercedes,1,3,15,70,+4.317,6352244,70,2,1:14.895,209.621
162,9,hamilton,mercedes,7,4,13,70,+4.915,6352842,70,1,1:14.856,209.730
163,9,piastri,mclaren,4,5,10,70,+10.199,6358126,65,5,1:16.247,205.904
164,9,alonso,aston_martin,6,6,8,70,+17.510,6365437,70,6,1:16.303,205.753
165,9,stroll,aston_martin,9,7,6,70,+23.625,6371552,70,9,1:16.762,204.523
166,9,ricciardo,rb,5,8,4,70,+28.672,6376599,68,12,1:17.076,203.689
167,9,gasly,alpine,15,9,2,70,+30.021,6377948,70,11,1:17.013,203.856
168,9,ocon,alpine,18,10,1,70,+30.313,6378240,70,10,1:17.012,203.859
169,9,hulkenberg,haas,17,11,0,70,+30.824,6378751,67,8,1:16.683,204.733
170,9,kevin_magnussen,haas,14,12,0,70,+31.253,6379180,68,7,1:16.499,205.226
171,9,bottas,sauber,0,13,0,70,+40.487,6388414,65,13,1:17.250,203.231
172,9,tsunoda,rb,8,14,0,70,+52.694,6400621,70,14,1:17.309,203.075
173,9,zhou,sauber,0,15,0,69,,,68,15,1:17.325,203.033
174,9,sainz,ferrari,12,16,0,52,,,51,17,1:18.957,198.837
175,9,albon,williams,10,17,0,52,,,51,18,1:19.359,197.830
176,9,perez,red_bull,16,18,0,51,,,51,16,1:18.819,199.185
177,9,leclerc,ferrari,11,19,0,40,,,39,19,1:26.012,182.528
178,9,sargeant,williams,13,20,0,23,,,19,20,1:26.484,181.531
179,10,max_verstappen,red_bull,2,1,25,66,1:28:20.227,5300227,54,2,1:17.776,215.557
180,10,norris,mclaren,1,2,19,66,+2.219,5302446,51,1,1:17.115,217.405
181,10,hamilton,mercedes,3,3,15,66,+17.790,5318017,46,4,1:17.809,215.466
