Feature,Importance
qualifying,0.1929465685097532
driver_form,0.12183653342018491
practice_avg,0.09166123385401388
practice_3,0.0826257076819078
practice_1,0.07685102029748041
driver_number_1,0.06803975015713075
practice_best,0.06801129259699137
practice_2,0.05375118765922182
sprint_race,0.03470403676758849
sprint_quali,0.019586285001394584
driver_number_24,0.01711403581063233
driver_number_63,0.014741471460533855
driver_number_2,0.012424330417180796
driver_number_55,0.010782781179294286
driver_number_16,0.01071850133453065
driver_number_3,0.010204993596509037
driver_number_4,0.01019883984231735
driver_number_11,0.00988250434254222
driver_number_14,0.00872515576154275
driver_number_44,0.00868079370711479
driver_number_23,0.008615387529100009
driver_number_81,0.006945852961819281
driver_number_77,0.006922089191865973
driver_number_10,0.006877720518750874
driver_number_20,0.006806282842133201
driver_number_18,0.005939765769777689
driver_number_22,0.005143459628716547
driver_number_31,0.003588111837237395
driver_number_21,0.003154903798383638
driver_number_27,0.0025501154306117623
race_name_FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,0.0014914868433871815
race_name_FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,0.001079660488321977
race_name_FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,0.0010764004240436712
race_name_FORMULA 1 MSC CRUISES BELGIAN GRAND PRIX 2023,0.0008482799407608943
race_name_FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2024,0.000837968260663806
race_name_FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2024,0.0008243830763319019
race_name_FORMULA 1 QATAR AIRWAYS AUSTRIAN GRAND PRIX 2024,0.0008133105168634873
race_name_FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2024,0.0007509827453085112
race_name_FORMULA 1 LENOVO CHINESE GRAND PRIX 2024,0.0007333539827052257
race_name_FORMULA 1 LENOVO GRANDE PRÊMIO DE SÃO PAULO 2024,0.0007214470731189558
race_name_FORMULA 1 PIRELLI UNITED STATES GRAND PRIX 2024,0.0006579374135878432
race_name_FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2023,0.0006317369785639554
race_name_FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2024,0.0006298221575814687
race_name_FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2023,0.0005505942854786839
race_name_FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,0.000518231306953942
race_name_FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2023,0.0004998213903739511
race_name_FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2024,0.0004570758264867798
race_name_FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2023,0.00045429198359052327
race_name_FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2023,0.0004488938208945102
race_name_FORMULA 1 GRAND PRIX DE MONACO 2024,0.0004480333575640115
race_name_FORMULA 1 MSC CRUISES GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2024,0.0004421678070743169
race_name_FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,0.00043650712321039787
race_name_FORMULA 1 MSC CRUISES JAPANESE GRAND PRIX 2024,0.00041517999711883813
race_name_FORMULA 1 LENOVO JAPANESE GRAND PRIX 2023,0.0003757539782971692
race_name_FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,0.0003645083104418488
race_name_FORMULA 1 HUNGARIAN GRAND PRIX 2024,0.00036148360510584077
race_name_FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2024,0.00035864140008769045
race_name_FORMULA 1 GRAND PRIX DE MONACO 2023,0.00033473919898600825
race_name_FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2023,0.00033267335085094684
race_name_FORMULA 1 AZERBAIJAN GRAND PRIX 2023,0.0003137681850325441
race_name_FORMULA 1 AWS GRAND PRIX DU CANADA 2024,0.0002724019165282764
race_name_FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,0.00026212506805348444
race_name_FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,0.00021816531188425267
race_name_FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2023,0.0001933424067630682
race_name_FORMULA 1 LENOVO UNITED STATES GRAND PRIX 2023,0.00017547486901876364
race_name_FORMULA 1 ROLEX GRANDE PRÊMIO DE SÃO PAULO 2023,0.00014539417038558888
race_name_FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,0.00014051032191329265
race_name_FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2024,0.00013582630069058958
race_name_FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2024,0.00011069667455589745
race_name_FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,0.00010621522515821138
race_name_FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2024,0.0
driver_number_40,0.0
driver_number_38,0.0
driver_number_30,0.0
driver_number_43,0.0
driver_number_50,0.0
race_name_FORMULA 1 ROLEX BELGIAN GRAND PRIX 2024,0.0
race_name_FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2024,0.0
