,Driver,LapTime
0,VER,0 days 00:01:59.392000
1,VER,
2,VER,
3,VER,
4,VER,0 days 00:02:23.609000
5,VER,0 days 00:02:19.654000
6,VER,0 days 00:02:16.447000
7,VER,0 days 00:01:36.830000
8,VER,0 days 00:01:34.315000
9,VER,0 days 00:01:32.650000
10,VER,0 days 00:01:32.453000
11,VER,0 days 00:01:31.591000
12,VER,0 days 00:01:31.271000
13,VER,0 days 00:01:30.639000
14,VER,0 days 00:01:30.328000
15,VER,0 days 00:01:30.592000
16,VER,0 days 00:01:33.392000
17,VER,0 days 00:01:32.169000
18,VER,0 days 00:01:31.939000
19,VER,0 days 00:01:31.598000
20,VER,0 days 00:01:31.177000
21,VER,0 days 00:01:31.040000
22,VER,0 days 00:01:30.686000
23,VER,0 days 00:01:30.978000
24,VER,0 days 00:01:30.845000
25,VER,0 days 00:01:30.293000
26,VER,0 days 00:01:29.731000
27,VER,0 days 00:01:29.411000
28,VER,0 days 00:01:29.043000
29,VER,0 days 00:01:28.237000
30,VER,0 days 00:01:28.127000
31,VER,0 days 00:01:28.208000
32,VER,0 days 00:01:28.046000
33,VER,0 days 00:02:08.598000
34,VER,0 days 00:02:04.508000
35,VER,0 days 00:01:56.334000
36,VER,
37,VER,0 days 00:02:17.910000
38,VER,0 days 00:02:12.714000
39,VER,0 days 00:02:11.498000
40,VER,0 days 00:02:12.004000
41,VER,0 days 00:01:25.317000
42,VER,0 days 00:01:23.081000
43,VER,0 days 00:01:26.789000
44,VER,0 days 00:01:32.874000
45,VER,0 days 00:01:52.606000
46,VER,0 days 00:02:07.213000
47,VER,0 days 00:02:02.406000
48,VER,0 days 00:02:24.892000
49,VER,0 days 00:02:22.085000
50,VER,0 days 00:02:13.879000
51,VER,0 days 00:01:33.864000
52,VER,0 days 00:01:30.859000
53,VER,0 days 00:01:29.100000
54,VER,0 days 00:01:28.538000
55,VER,0 days 00:01:27.921000
56,VER,0 days 00:01:27.400000
