Name,Full Name,Base,Chief,Technical Chief,Chassis,Power Unit,First Season,World Championships,Highest Race Finish,Pole Positions,Fastest Laps
Red Bull Racing,Oracle Red Bull Racing,"Milton Keynes, United Kingdom",Christian Horner,Pierre Waché,RB20,Honda RBPT,1997,6,1 (x120),103,97
Ferrari,Scuderia Ferrari,"Maranello, Italy",Frédéric Vasseur,Enrico Cardile / Enrico Gualtieri,SF-24,Ferrari,1950,16,1 (x246),250,261
McLaren,McLaren Formula 1 Team,"Woking, United Kingdom",Andrea Stella,Peter Prodromou / Neil Houldey,MCL38,Mercedes,1966,8,1 (x184),158,167
Mercedes,Mercedes-AMG PETRONAS F1 Team,"Brackley, United Kingdom",Toto Wolff,James Allison,W15,Mercedes,1970,8,1 (x116),130,99
Aston Martin,Aston Martin Aramco F1 Team,"Silverstone, United Kingdom",Mike Krack,Dan Fallows,AMR24,Mercedes,2018,0,1 (x1),1,2
RB,Visa Cash App RB Formula One Team,"Faenza, Italy",Laurent Mekies,Jody Egginton,VCARB 01,Honda RBPT,1985,0,1 (x2),1,3
Alpine,BWT Alpine F1 Team,"Enstone, United Kingdom",Bruno Famin,David Sanchez,A524,Renault,1986,2,1 (x21),20,15
Haas,MoneyGram Haas F1 Team,"Kannapolis, United States",Ayao Komatsu ,Andrea De Zordo,VF-24,Ferrari,2016,0,4 (x1),1,2
Williams,Williams Racing,"Grove, United Kingdom",James Vowles,Pat Fry,FW46,Mercedes,1978,9,1 (x114),128,133
Kick Sauber,Stake F1 Team Kick Sauber,"Hinwil, Switzerland",Alessandro Alunni Bravi,James Key,C44,Ferrari,1993,0,1 (x1),1,7
